dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auto_mpg,outer_0,streed,4,20,3,0.1,0.1,0.1,0.8047229166625659,12.327805952180015,0.06554508209228516,12.198915881131306,0.8027553469283614,13.578294406113692,0.7571051812150456,1
auto_mpg,outer_0,streed,4,20,3,0.1,0.1,0.001,0.8044835492105215,12.344670182226409,0.060943603515625,12.219763968507594,0.8024182535504076,13.725868573713115,0.754465306159732,1
auto_mpg,outer_0,streed,4,20,3,0.1,0.01,0.1,0.8013906380498953,12.571361194209217,0.063873291015625,12.404462034874554,0.7994318647287664,13.86116286041125,0.7520450993011013,1
auto_mpg,outer_0,streed,4,20,3,0.1,0.01,0.001,0.797285395236094,12.80948918362673,0.05404520034790039,12.581382006795621,0.7965712401599068,14.160959737477867,0.7466821939206874,1
auto_mpg,outer_0,streed,4,20,3,0.1,0.001,0.1,0.7970524857184639,12.842481374197389,0.0743556022644043,12.4391144774727,0.7988715682987427,13.893126232088262,0.7514733237055046,1
auto_mpg,outer_0,streed,4,20,3,0.1,0.001,0.001,0.7928022631108557,13.11008089874008,0.05381131172180176,12.634879970099197,0.7957062299151707,14.20969053539095,0.7458104748391645,1
auto_mpg,outer_0,streed,4,20,3,0.1,0.0001,0.1,0.7969966024436084,12.846051233528106,0.06380724906921387,12.442834625038397,0.7988114171162015,13.896435559821017,0.7514141249183884,1
auto_mpg,outer_0,streed,4,20,3,0.1,0.0001,0.001,0.7927141149467017,13.115581004612691,0.05303788185119629,12.640535968279908,0.7956147779033854,14.214709380572815,0.7457206954121984,1
auto_mpg,outer_0,streed,4,20,3,0.1,1e-05,0.1,0.7969909713973147,12.846410780761294,0.06430602073669434,12.443209454953882,0.7988053564795546,13.896767874327,0.7514081803226023,1
auto_mpg,outer_0,streed,4,20,3,0.1,1e-05,0.001,0.7927052476311379,13.116134126931223,0.052607059478759766,12.641104934700248,0.7956055782675093,14.215213015404728,0.7457116861590791,1
auto_mpg,outer_0,streed,4,20,3,0.08,0.1,0.1,0.8047229166625659,12.327805952180015,0.9505784511566162,12.198915881131306,0.8027553469283614,13.578294406113692,0.7571051812150456,1
auto_mpg,outer_0,streed,4,20,3,0.08,0.1,0.001,0.8044835492105215,12.344670182226409,0.07122302055358887,12.219763968507594,0.8024182535504076,13.725868573713115,0.754465306159732,1
auto_mpg,outer_0,streed,4,20,3,0.08,0.01,0.1,0.8013906380498953,12.571361194209217,0.0743875503540039,12.404462034874554,0.7994318647287664,13.86116286041125,0.7520450993011013,1
auto_mpg,outer_0,streed,4,20,3,0.08,0.01,0.001,0.8014227750704089,12.604394127942106,0.06675076484680176,12.581382006795621,0.7965712401599068,14.160959737477867,0.7466821939206874,1
auto_mpg,outer_0,streed,4,20,3,0.08,0.001,0.1,0.8026038413555355,12.567293782266061,0.07765483856201172,12.4391144774727,0.7988715682987427,13.893126232088262,0.7514733237055046,1
auto_mpg,outer_0,streed,4,20,3,0.08,0.001,0.001,0.8031336671069109,12.597940374368298,0.06609678268432617,12.634879970099197,0.7957062299151707,14.20969053539095,0.7458104748391645,1
auto_mpg,outer_0,streed,4,20,3,0.08,0.0001,0.1,0.8025719643612018,12.569673620463226,0.07382678985595703,12.442834625038397,0.7988114171162015,13.896435559821017,0.7514141249183884,1
auto_mpg,outer_0,streed,4,20,3,0.08,0.0001,0.001,0.8013550883514077,12.68723722362626,0.06569886207580566,12.640535968279908,0.7956147779033854,14.214709380572815,0.7457206954121984,1
auto_mpg,outer_0,streed,4,20,3,0.08,1e-05,0.1,0.802568609905777,12.569920314260239,0.07395362854003906,12.443209454953882,0.7988053564795546,13.896767874327,0.7514081803226023,1
auto_mpg,outer_0,streed,4,20,3,0.08,1e-05,0.001,0.8013446783954795,12.687866816543112,0.06523466110229492,12.641104934700248,0.7956055782675093,14.215213015404728,0.7457116861590791,1
auto_mpg,outer_0,streed,4,20,3,0.05,0.1,0.1,0.8364497811992373,10.253045716787696,6.59073281288147,9.037794078744305,0.8538676243884789,12.454247867084813,0.7772126462793134,2
auto_mpg,outer_0,streed,4,20,3,0.05,0.1,0.001,0.8395345299761887,10.05220156014299,5.262693643569946,8.344406124284635,0.865079035947845,9.646541870423974,0.8274381914665867,2
auto_mpg,outer_0,streed,4,20,3,0.05,0.01,0.1,0.8399792122557498,10.02827456710525,5.891550302505493,7.934492290214377,0.8717069455734465,8.046165411301805,0.8560664667418055,2
auto_mpg,outer_0,streed,4,20,3,0.05,0.01,0.001,0.8517702359585089,9.180364072509464,1.1277470588684082,7.7655048769995885,0.8744393083520587,7.800687974665713,0.8604576808151042,2
auto_mpg,outer_0,streed,4,20,3,0.05,0.001,0.1,0.8495649085547653,9.372374914193246,5.780614614486694,7.928097430787092,0.871810344255876,7.961599767925194,0.8575792161349949,2
auto_mpg,outer_0,streed,4,20,3,0.05,0.001,0.001,0.85698109031866,8.936034499342144,1.1356170177459717,7.867219939434524,0.8727946743208355,7.810643963758084,0.8602795834713518,2
auto_mpg,outer_0,streed,4,20,3,0.05,0.0001,0.1,0.8495357262947646,9.374588026887233,5.700151681900024,7.928302442627649,0.871807029413003,7.9539742353760765,0.8577156251928088,2
auto_mpg,outer_0,streed,4,20,3,0.05,0.0001,0.001,0.8549929993766424,9.039673502206428,1.1288843154907227,7.8711187225389425,0.872731634774672,7.8343449890499395,0.8598556085543924,2
auto_mpg,outer_0,streed,4,20,3,0.05,1e-05,0.1,0.8495319185758193,9.374867287215823,5.67988395690918,7.92834906227333,0.8718062756184914,7.953220543465934,0.8577291075827509,2
auto_mpg,outer_0,streed,4,20,3,0.05,1e-05,0.001,0.8549576926366304,9.042006840815475,1.1405949592590332,7.872416087533002,0.8727106576394368,7.830864005544905,0.8599178779994612,2
auto_mpg,outer_0,streed,4,20,3,0.03,0.1,0.1,0.8436646750958916,9.766280246991096,16.44315218925476,7.278347482773048,0.8823161715218526,9.446035121155386,0.8310249490572033,3
auto_mpg,outer_0,streed,4,20,3,0.03,0.1,0.001,0.8470795269775833,9.543165105469576,13.690738677978516,8.344406124284635,0.865079035947845,9.646541870423974,0.8274381914665867,2
auto_mpg,outer_0,streed,4,20,3,0.03,0.01,0.1,0.8418543225460455,9.901766962911715,14.542980670928955,7.934492290214377,0.8717069455734465,8.046165411301805,0.8560664667418055,2
auto_mpg,outer_0,streed,4,20,3,0.03,0.01,0.001,0.8517702359585089,9.180364072509464,10.534181594848633,7.7655048769995885,0.8744393083520587,7.800687974665713,0.8604576808151042,2
auto_mpg,outer_0,streed,4,20,3,0.03,0.001,0.1,0.8506507287502613,9.299118150456167,14.377161026000977,7.928097430787092,0.871810344255876,7.961599767925194,0.8575792161349949,2
auto_mpg,outer_0,streed,4,20,3,0.03,0.001,0.001,0.8536314941942883,9.162020876198596,10.059798955917358,7.867219939434524,0.8727946743208355,7.810643963758084,0.8602795834713518,2
auto_mpg,outer_0,streed,4,20,3,0.03,0.0001,0.1,0.8505403936866034,9.30680637936993,14.37359094619751,7.928302442627649,0.871807029413003,7.9539742353760765,0.8577156251928088,2
auto_mpg,outer_0,streed,4,20,3,0.03,0.0001,0.001,0.8508041055946335,9.322284567446514,10.019958019256592,7.8711187225389425,0.872731634774672,7.8343449890499395,0.8598556085543924,2
auto_mpg,outer_0,streed,4,20,3,0.03,1e-05,0.1,0.8505280653652877,9.307660497080379,14.368604898452759,7.92834906227333,0.8718062756184914,7.953220543465934,0.8577291075827509,2
auto_mpg,outer_0,streed,4,20,3,0.03,1e-05,0.001,0.8502923993018339,9.35675903736603,10.059685468673706,7.872416087533002,0.8727106576394368,7.830864005544905,0.8599178779994612,2
auto_mpg,outer_0,streed,4,20,3,0.01,0.1,0.1,0.8706006700639639,8.213624022209224,18.536338090896606,6.967144171712981,0.8873480276083212,8.585796423207595,0.8464132972841907,4
auto_mpg,outer_0,streed,4,20,3,0.01,0.1,0.001,0.8602285644572895,8.671221480631752,18.424535274505615,6.679624492651876,0.891996942306995,8.32898733722063,0.8510072171490486,4
auto_mpg,outer_0,streed,4,20,3,0.01,0.01,0.1,0.846397398711788,9.491426636102759,18.669922351837158,6.5853412191556995,0.893521411510031,9.702108144029458,0.8264441962301982,4
auto_mpg,outer_0,streed,4,20,3,0.01,0.01,0.001,0.8301430393388233,10.406940699777527,18.32446312904358,5.2219629243907315,0.9155659178724587,9.749051262116877,0.825604455993316,5
