dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
energe_c,outer_1,greedy,4,0.1,0.1,3,20,quantile,0,0.8710373315294965,11.670731551562072,14767.273846891949,0.0025365352630615234,11.450294360363714,0.8727646305526597,15.356596518294005,0.832235347069775,1
energe_c,outer_1,greedy,4,0.1,0.01,3,20,quantile,0,0.8893656447080588,9.992987281765283,11995.51803844962,0.0026459693908691406,9.67726230036145,0.892466516119661,13.119379578914273,0.8566760441290187,1
energe_c,outer_1,greedy,4,0.1,0.001,3,20,quantile,0,0.8913296510011176,9.805308992559349,11427.633941876556,0.0026040077209472656,9.478758652202844,0.8946722834314197,12.923663860186238,0.8588141597971801,1
energe_c,outer_1,greedy,4,0.1,0.0001,3,20,quantile,0,0.8913981187397764,9.797303068989917,11349.504620950203,0.0025780200958251953,9.470202482314274,0.8947673593659384,12.925226721567833,0.858797086163908,1
energe_c,outer_1,greedy,4,0.1,1e-05,3,20,quantile,0,0.891396465943811,9.797241105583389,11341.13962144922,0.002508401870727539,9.470085496387071,0.8947686593104813,12.926326699280905,0.8587850693489162,1
energe_c,outer_1,greedy,4,0.08,0.1,3,20,quantile,0,0.8710373315294965,11.670731551562072,13662.159637250255,0.0037109851837158203,11.450294360363714,0.8727646305526597,15.356596518294005,0.832235347069775,1
energe_c,outer_1,greedy,4,0.08,0.01,3,20,quantile,0,0.8893656447080588,9.992987281765283,10890.403828807926,0.002599477767944336,9.67726230036145,0.892466516119661,13.119379578914273,0.8566760441290187,1
energe_c,outer_1,greedy,4,0.08,0.001,3,20,quantile,0,0.8913296510011176,9.805308992559349,10322.519732234863,0.002601146697998047,9.478758652202844,0.8946722834314197,12.923663860186238,0.8588141597971801,1
energe_c,outer_1,greedy,4,0.08,0.0001,3,20,quantile,0,0.8913981187397764,9.797303068989917,10244.39041130851,0.0025539398193359375,9.470202482314274,0.8947673593659384,12.925226721567833,0.858797086163908,1
energe_c,outer_1,greedy,4,0.08,1e-05,3,20,quantile,0,0.891396465943811,9.797241105583389,10236.025411807526,0.002590179443359375,9.470085496387071,0.8947686593104813,12.926326699280905,0.8587850693489162,1
energe_c,outer_1,greedy,4,0.05,0.1,3,20,quantile,0,0.8814374314670771,10.767053705619773,11702.67497423914,0.003662109375,9.095207125602055,0.8989342978961372,12.797762983718927,0.8601895763368403,2
energe_c,outer_1,greedy,4,0.05,0.01,3,20,quantile,0,0.9227382550172925,6.9296784549588,8936.758818441613,0.0025396347045898438,4.705656980931407,0.9477108635273334,5.0239394798466686,0.9451154777574006,2
energe_c,outer_1,greedy,4,0.05,0.001,3,20,quantile,0,0.9240678262310175,6.8076269811794345,8395.114450664452,0.0025560855865478516,4.521048041923645,0.949762233196854,4.94877387650859,0.9459366318029133,2
energe_c,outer_1,greedy,4,0.05,0.0001,3,20,quantile,0,0.9247250128890125,6.7486223276440285,8281.545297893506,0.002550363540649414,4.458008108108917,0.9504627312815687,4.918936743454439,0.9462625905051101,2
energe_c,outer_1,greedy,4,0.05,1e-05,3,20,quantile,0,0.9247876613708715,6.743022201397431,8263.503503554373,0.002586841583251953,4.455676878166285,0.9504886358473101,4.9212696324093725,0.946237104629683,2
energe_c,outer_1,greedy,4,0.03,0.1,3,20,quantile,0,0.9156661488682262,7.564509813884129,9210.082179703797,0.0045163631439208984,5.957491110393618,0.9338005156414075,6.962218116325474,0.9239405616655724,3
