dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
temperature_max,outer_3,streed,4,5,3,0.08,0.1,0.001,0.7635203662595393,2.3052001265198974,599.9052889347076,2.2854972546772117,0.7656630653336869,2.194132085112436,0.7700671124240879,1
temperature_max,outer_3,streed,4,5,3,0.08,0.01,0.1,0.758960286891182,2.3497913418719203,599.8925778865814,2.330893529897219,0.7610084878851451,2.2352656571590077,0.7657565419433252,1
temperature_max,outer_3,streed,4,5,3,0.08,0.01,0.001,0.7564361177517887,2.3741996307394757,599.4464592933655,2.3566057664497233,0.7583721571327023,2.3059047294380997,0.758353958491298,1
temperature_max,outer_3,streed,4,5,3,0.08,0.001,0.1,0.756969524058461,2.369252874471124,599.8901228904724,2.330618708372637,0.7610366659254026,2.237440206204193,0.7655286612498484,1
temperature_max,outer_3,streed,4,5,3,0.08,0.001,0.001,0.7550924813940169,2.387297925980335,599.9194660186768,2.3625238603665344,0.7577653622723302,2.3146759622789492,0.7574347818800167,1
temperature_max,outer_3,streed,4,5,3,0.08,0.0001,0.1,0.7569605635357141,2.369338617832708,599.8865146636963,2.3306100245629326,0.7610375562950337,2.237664729072516,0.7655051324970489,1
temperature_max,outer_3,streed,4,5,3,0.08,0.0001,0.001,0.7549615373679975,2.388573967242729,600.0482432842255,2.363743488752063,0.7576403111585246,2.3163561669973967,0.757258705733438,1
temperature_max,outer_3,streed,4,5,3,0.08,1e-05,0.1,0.7569596246247937,2.369347609630044,599.885351896286,2.330609615998991,0.7610375981859707,2.2376876495852405,0.7655027305542892,1
temperature_max,outer_3,streed,4,5,3,0.08,1e-05,0.001,0.7549483725680725,2.3887022577609884,600.0274214744568,2.363866126979501,0.7576277367980734,2.3165249365461253,0.7572410196196724,1
temperature_max,outer_3,streed,4,5,3,0.05,0.1,0.1,0.7577206539754506,2.3619945219931004,599.8790259361267,2.3291578405700673,0.7611864518339643,2.2031833669609218,0.7691185882282079,1
temperature_max,outer_3,streed,4,5,3,0.05,0.1,0.001,0.7635203662595393,2.3052001265198974,599.8696551322937,2.2854972546772117,0.7656630653336869,2.194132085112436,0.7700671124240879,1
temperature_max,outer_3,streed,4,5,3,0.05,0.01,0.1,0.758960286891182,2.3497913418719203,599.8812565803528,2.330893529897219,0.7610084878851451,2.2352656571590077,0.7657565419433252,1
temperature_max,outer_3,streed,4,5,3,0.05,0.01,0.001,0.7564361177517887,2.3741996307394757,599.8638262748718,2.3566057664497233,0.7583721571327023,2.3059047294380997,0.758353958491298,1
temperature_max,outer_3,streed,4,5,3,0.05,0.001,0.1,0.756969524058461,2.369252874471124,599.8583137989044,2.330618708372637,0.7610366659254026,2.237440206204193,0.7655286612498484,1
temperature_max,outer_3,streed,4,5,3,0.05,0.001,0.001,0.7550924813940169,2.387297925980335,599.868043422699,2.3625238603665344,0.7577653622723302,2.3146759622789492,0.7574347818800167,1
temperature_max,outer_3,streed,4,5,3,0.05,0.0001,0.1,0.7569605635357141,2.369338617832708,599.8739988803864,2.3306100245629326,0.7610375562950337,2.237664729072516,0.7655051324970489,1
temperature_max,outer_3,streed,4,5,3,0.05,0.0001,0.001,0.7549615373679975,2.388573967242729,599.8670084476471,2.363743488752063,0.7576403111585246,2.3163561669973967,0.757258705733438,1
temperature_max,outer_3,streed,4,5,3,0.05,1e-05,0.1,0.7569596246247937,2.369347609630044,599.862694978714,2.330609615998991,0.7610375981859707,2.2376876495852405,0.7655027305542892,1
temperature_max,outer_3,streed,4,5,3,0.05,1e-05,0.001,0.7549483725680725,2.3887022577609884,599.8638520240784,2.363866126979501,0.7576277367980734,2.3165249365461253,0.7572410196196724,1
temperature_max,outer_3,streed,4,5,3,0.03,0.1,0.1,0.7577206539754506,2.3619945219931004,599.8654367923737,2.3291578405700673,0.7611864518339643,2.2031833669609218,0.7691185882282079,1
temperature_max,outer_3,streed,4,5,3,0.03,0.1,0.001,0.7635203662595393,2.3052001265198974,599.8549966812134,2.2854972546772117,0.7656630653336869,2.194132085112436,0.7700671124240879,1
